name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
			NetIncomeContinuousOperations,"-2,728,000,000","-2,728,000,000","572,000,000","398,000,000","371,359,000","261,285,000","722,748,000","372,950,000","216,358,000","302,979,000","326,341,000","425,560,000","303,623,000","-2,520,670,000","295,864,000","244,934,000","228,730,000","163,172,000","158,296,000","76,713,000","8,901,000"
			NetIncomeDiscontinuousOperations,,,,,,,,"0","0","-22,539,000","148,262,000",,,,,,,,,,
		MinorityInterests,"116,000,000","116,000,000","-7,000,000","8,000,000","6,605,000","20,563,000","41,717,000","25,147,000","16,492,000","-269,000","-2,309,000","-4,060,000","-4,097,000","2,907,000","1,994,000","-513,000","836,000","301,000","-46,889,000",,
	PreferredStockDividends,"75,000,000","75,000,000",,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-2,687,000,000","-2,687,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","280,171,000","472,294,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000"
BasicEPS,,"-19","3.84","2.71","2.49","1.87","5.87","3.09","1.73","2.09","3.48","2.98","2.08","-17.6","2","1.44","1.36","0.974","0.66","0.46","0.06"
DilutedEPS,,"-19","3.77","2.65","2.42","1.82","5.7","2.99","1.67","2","3.41","2.92","2.06","-17.6","1.88","1.4","1.3","0.96","0.66","0.46","0.06"
BasicAverageShares,,"141,414,000","147,194,000","149,961,000","151,619,000","150,367,000","130,159,000","128,912,000","134,912,000","134,203,000","135,888,000","141,232,500","144,107,000","143,083,500","148,320,000","169,023,500","168,409,500","167,770,000","167,770,000","167,770,000","167,770,000"
DilutedAverageShares,,"141,414,000","149,884,000","152,889,000","156,385,000","154,517,000","134,018,000","133,168,000","139,593,000","139,929,000","138,702,000","144,014,000","146,070,500","145,915,000","157,116,500","176,090,500","174,765,000","170,274,500","170,274,500","170,274,500","170,274,500"
TotalOperatingIncomeAsReported,"-2,719,000,000","-2,719,000,000","903,000,000","714,000,000","625,138,000","461,702,000","413,566,000","517,764,000","366,060,000","431,724,000","479,609,000","731,915,000","571,414,000","-2,428,953,000","529,069,000","351,329,000","397,052,000","240,473,000","243,518,000","193,770,000","15,811,000"
TotalExpenses,"6,726,000,000","6,726,000,000","11,106,000,000","10,440,000,000","9,392,556,000","8,194,567,000","6,258,467,000","5,178,552,000","4,260,808,000","3,481,598,000","2,969,400,000","2,610,652,000","2,349,844,000","2,369,966,000","2,136,263,000","1,886,257,000","1,722,403,000","1,602,540,000","2,084,631,000",,"520,686,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-2,612,000,000","-2,612,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","280,171,000","472,294,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000"
NormalizedIncome,"-1,506,984,000","-1,506,984,000","626,992,000","550,963,000","467,423,964","418,547,920","287,498,147","444,925,551","337,152,080","418,064,664","329,743,568.12","437,106,499.981","345,618,694.987","-541,647,300","306,259,450","262,936,090.97","370,245,400","169,073,840.474","123,422,101.206","76,713,000","8,901,000"
InterestIncome,"18,000,000","18,000,000","59,000,000","71,000,000","34,137,000","19,726,000","16,695,000","27,288,000","24,779,000","26,396,000","20,218,000","7,160,000","6,206,000","30,411,000",,,,,,,
InterestExpense,"360,000,000","360,000,000","173,000,000","190,000,000","181,712,000","173,148,000","126,195,000","98,089,000","87,358,000","87,788,000","90,718,000","101,291,000","84,233,000","71,984,000",,,,,,,
NetInterestIncome,"-342,000,000","-342,000,000","-114,000,000","-119,000,000","-147,575,000","-153,422,000","-109,500,000","-70,801,000","-62,579,000","-61,392,000","-70,500,000","-94,131,000","-78,027,000","-41,573,000",,,,,,,
EBIT,"-2,791,000,000","-2,791,000,000","948,000,000","675,000,000","598,476,000","449,748,000","1,052,157,000","562,730,000","388,051,000","437,845,000","492,790,000","721,859,000","542,256,000","-2,442,720,000","529,069,000","351,329,000","397,052,000","240,473,000","255,182,000","1,499,075,000","15,811,000"
EBITDA,"-1,723,000,000"
ReconciledCostOfRevenue,"1,505,000,000","1,505,000,000","1,451,000,000","1,247,000,000","1,142,432,000","1,119,637,000","972,879,000","913,264,000","826,290,000","734,357,000","628,263,000","574,430,000","442,808,000","496,653,000","440,026,000","373,574,000","328,546,000","412,701,000","1,199,414,000",,
ReconciledDepreciation,"1,068,000,000","1,068,000,000","910,000,000","1,001,000,000","889,544,000","794,202,000","500,345,000","345,432,000","283,475,000","195,952,000","154,934,000","155,525,000","202,124,000","207,527,000","199,944,000","249,468,000","280,834,000","344,782,000","241,410,000",,
NetIncomeFromContinuingOperationNetMinorityInterest,"-2,612,000,000","-2,612,000,000","565,000,000","406,000,000","377,964,000","281,848,000","764,465,000","398,097,000","232,850,000","302,710,000","324,032,000","421,500,000","299,526,000","-2,517,763,000","295,864,000","244,934,000","228,730,000","163,473,000","111,407,000","76,713,000","8,901,000"
TotalUnusualItemsExcludingGoodwill,"-1,276,000,000","-1,276,000,000","-84,000,000","-177,000,000","-100,404,000","-144,656,000","610,713,000","-58,317,000","-144,864,000","-133,204,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-15,993,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,
TotalUnusualItems,"-1,276,000,000","-1,276,000,000","-84,000,000","-177,000,000","-100,404,000","-144,656,000","610,713,000","-58,317,000","-144,864,000","-133,204,000","-7,037,000","-22,758,000","-69,532,000","-3,040,178,000","-15,993,000","-28,230,000","-235,859,000","-9,252,000","-19,393,000",,
NormalizedEBITDA,"-447,000,000","-447,000,000","1,942,000,000","1,853,000,000","1,588,424,000","1,388,606,000","941,789,000","966,479,000","816,390,000","767,001,000","654,761,000","900,142,000","813,912,000","804,985,000","745,006,000","629,027,000","913,745,000","594,507,000","515,985,000","1,499,075,000","15,811,000"
TaxRateForCalcs,"0.134","0.134","0.262","0.181","0.109","0.055","0.219","0.197","0.28","0.134","0.188","0.314","0.337","0.35","0.35","0.362","0.4","0.395","0.38","0.4","0.4"
TaxEffectOfUnusualItems,"-170,984,000","-170,984,000","-22,008,000","-32,037,000","-10,944,036","-7,956,080","133,746,147","-11,488,449","-40,561,920","-17,849,336","-1,325,431.88","-7,151,500.019","-23,439,305.013","-1,064,062,300","-5,597,550","-10,227,909.03","-94,343,600","-3,651,159.526","-7,377,898.794","0","0"
